dataset,model,R2,MAE,RMSE,n_samples,R2_mean,R2_std,R2_ci_lower,R2_ci_upper,MAE_mean,MAE_std,MAE_ci_lower,MAE_ci_upper,RMSE_mean,RMSE_std,RMSE_ci_lower,RMSE_ci_upper
processed_seq,lstm,0.4362769667535349,0.04908986519818437,0.06822367556033394,8009,0.43621775196745227,0.010360575183140376,0.41586289095250284,0.45638092045771733,0.049073725971037534,0.0005154331421304725,0.04802939136272555,0.050056078440450034,0.06819332736226272,0.0007711876761481531,0.06669482312547391,0.06968705544509259
processed_seq,rf,0.31708243921060164,0.059482508451022015,0.07521009054427145,8039,0.3169650348691629,0.007345208041602812,0.30276608905936797,0.33061956843421986,0.05946867193973041,0.000514245014089383,0.05847437154185209,0.06045043755168348,0.07519474110397409,0.0006729393014159629,0.07386868008126343,0.07650928871232221
processed_seq,svr,0.15457467435293915,0.061364786820499194,0.08368152729265886,8039,0.1546267296446703,0.010996449374506216,0.13346893027045548,0.17631650426028359,0.06134330288750725,0.000648761708132746,0.06005136716473862,0.06260806823233447,0.08365500966464129,0.0008960098847578243,0.08192103619637382,0.08543297651932046
processed_seq,transformer,0.31235387813121007,0.053724492674863907,0.07535025429939887,8009,0.31273382655639476,0.011996980148545486,0.2899166768935774,0.3379287275825147,0.05368581517670923,0.0005830382934281949,0.052520961356112277,0.05482979415048955,0.07529262129276344,0.0008544560306574605,0.07368232722621346,0.07692412164022064
processed_seq,xgb,0.8131452984299409,0.030397404773632796,0.03934087238892991,8039,0.813020892053619,0.003310770607429887,0.8064042773683773,0.8194255430219792,0.030394704826918452,0.0002804679367051592,0.029845851245018748,0.030952265234456544,0.03934104884914122,0.00039836506495929535,0.038580482436984316,0.04011728229715966
cast,rf,0.9546715914912978,163.81391312251546,325.45246053392225,21865,0.9546328274595539,0.0013814827027525238,0.9518923348323269,0.9572537210800852,163.8229917940632,1.9175872919176877,160.12785265146135,167.69035032994736,325.496562148593,4.808321194407968,316.14248750564906,335.2361252798004
cast,svr,0.5715517164546563,846.1015185410517,1000.5793309514028,21865,0.5714979221013107,0.00315352745043065,0.5651116495461747,0.577959116503739,845.9882177527896,3.57295548060722,839.2094541905616,853.0973783283916,1000.4662438987658,3.7896508353316753,993.1550091231688,1008.3907466467806
cast,xgb,0.9600232118263899,177.25311032483432,305.63724282175735,21865,0.9599855363342482,0.0011176754196076798,0.9576906535792087,0.9622481435694797,177.26179774912285,1.7050250973561818,173.9096475279743,180.8487120379455,305.69735559187063,4.096424843702907,297.5962769919468,313.7956253001316
era5_daily,rf,0.9132515780805229,0.3558205888467373,0.5493049254455278,102982,0.9132499832240327,0.0008233708414339665,0.9116278678303088,0.9147962249602032,0.35579738254513593,0.0012740507913612065,0.35327215722102684,0.35841614885240974,0.5492560950748964,0.0024614386100230592,0.5444546723461708,0.5541999653669459
era5_daily,svr,0.8191288742895126,0.4814354895483438,0.7931719046970537,102982,0.8190887103902157,0.0018317092243886456,0.8156183952359464,0.8226676583706246,0.4814398494501832,0.0019457766614406537,0.4776574749980363,0.4851525876146041,0.7931819550948132,0.004030983032785818,0.7851556049534293,0.8010153421755868
