Dataset,Model,Split Rule,Train N,Test N,RMSE,NRMSE,NSE,Event Precision (90th pct),Event Recall (90th pct),Event F1 (90th pct),Event Threshold (train 90th pct),R² (test)
rolling_mean,XGB,chronological-70/15/15,6198,1329,0.0167501359842508,0.0654151096963465,0.8714657207672116,0.8452380952380952,0.8114285714285714,0.8279883381924198,0.1674035599999999,0.8714657207672116
rolling_mean,SVR,chronological-70/15/15,6198,1329,0.0448862886017882,0.1752965764283116,0.076983026952662,0.0,0.0,0.0,0.1674035599999999,0.076983026952662
rolling_mean,RIDGE,chronological-70/15/15,6198,1329,0.0178298512047289,0.0696317733493937,0.8543609860159974,0.8433734939759037,0.8,0.8211143695014663,0.1674035599999999,0.8543609860159974
rolling_mean,LASSO,chronological-70/15/15,6198,1329,0.0470893555103231,0.183900319324829,-0.0158457903454831,0.0,0.0,0.0,0.1674035599999999,-0.0158457903454831
rolling_mean,MEAN,chronological-70/15/15,6198,1329,0.0470893555103231,0.183900319324829,-0.0158457903454831,0.0,0.0,0.0,0.1674035599999999,-0.0158457903454831
rolling_mean,LSTM,chronological-70/15/15,6177,1324,0.0277262894139631,0.1082808082986535,0.6485794158014138,0.7368421052631579,0.56,0.6363636363636364,0.1685714285714285,0.6485794158014138
rolling_mean,TRANSFORMER,chronological-70/15/15,6177,1324,0.0432336544630776,0.1688424650364201,0.1455481657542898,0.0,0.0,0.0,0.1685714285714285,0.1455481657542898
processed_seq,RF,chronological-70/15/15,5627,1206,0.0881864875590094,0.2199164278279536,0.0403983903806772,0.0,0.0,0.0,0.25,0.0403983903806772
processed_seq,XGB,chronological-70/15/15,5627,1206,0.0912807960445326,0.2276329078417271,-0.0281245160105227,0.75,0.0545454545454545,0.1016949152542373,0.25,-0.0281245160105227
processed_seq,SVR,chronological-70/15/15,5627,1206,0.0942561681258334,0.2350527883437243,-0.096242001410119,0.0,0.0,0.0,0.25,-0.096242001410119
processed_seq,RIDGE,chronological-70/15/15,5627,1206,0.0871498742112163,0.2173313571352028,0.0628256218237706,0.0,0.0,0.0,0.25,0.0628256218237706
processed_seq,LASSO,chronological-70/15/15,5627,1206,0.0900243724722005,0.2244996819755624,-1.630933778162813e-05,0.0,0.0,0.0,0.25,-1.630933778162813e-05
processed_seq,MEAN,chronological-70/15/15,5627,1206,0.0900243724722005,0.2244996819755624,-1.630933778162813e-05,0.0,0.0,0.0,0.25,-1.630933778162813e-05
processed_seq,LSTM,chronological-70/15/15,5606,1202,0.0631434261969523,0.157464903234295,0.508891357782137,0.8571428571428571,0.4363636363636363,0.5783132530120482,0.25,0.508891357782137
processed_seq,TRANSFORMER,chronological-70/15/15,5606,1202,0.0898872416149327,0.2241577097629246,0.0047838915120758,0.0,0.0,0.0,0.25,0.0047838915120758
hydrographic,RF,chronological-70/15/15,3257,698,0.3505751974319365,0.24345499821662256,-0.35358920247074965,0.07142857142857142,0.023809523809523808,0.03571428571428571,1.04,-0.35358920247074965
hydrographic,XGB,chronological-70/15/15,3257,698,0.3802014979434049,0.26402881801625344,-0.5920333238047253,0.06521739130434782,0.03571428571428571,0.046153846153846156,1.04,-0.5920333238047253
hydrographic,SVR,chronological-70/15/15,3257,698,0.37965078728628815,0.26364638005992236,-0.5874246373603613,0.061224489795918366,0.03571428571428571,0.045112781954887216,1.04,-0.5874246373603613
hydrographic,RIDGE,chronological-70/15/15,3257,698,0.33959972507279274,0.23583314241166162,-0.2701621495515165,0.0,0.0,0.0,1.04,-0.2701621495515165
hydrographic,LASSO,chronological-70/15/15,3257,698,0.31876188269914385,0.22136241854107214,-0.1190700512801266,0.0,0.0,0.0,1.04,-0.1190700512801266
hydrographic,MEAN,chronological-70/15/15,3257,698,0.31876188269914385,0.22136241854107214,-0.1190700512801266,0.0,0.0,0.0,1.04,-0.1190700512801266
hydrographic,LSTM,chronological-70/15/15,3236,694,0.22218375511696947,0.15429427438678436,0.45789975925232607,0.8,0.19047619047619047,0.3076923076923077,1.04,0.45789975925232607
hydrographic,TRANSFORMER,chronological-70/15/15,3236,694,0.22904134422523476,0.15905648904530192,0.4239200464411409,0.6153846153846154,0.09523809523809523,0.16494845360824742,1.04,0.4239200464411409
